slo_id,table_name,table_type
slo_ads,ads.advertising_costs_v3,spark
slo_analytics_reports,cube.time_refunds_days,spark
slo_analytics_reports,cube.time_orders_costs_cube_10_days,spark
slo_analytics_reports,pharmacy.etl_pharmacy.order_cube,spark
slo_analytics_reports,cube.time_orders_additional_cube_2_days,spark
slo_analytics_reports,cube.cohort_buying_devices_absolute_days,spark
slo_jl_external_cube,cube.jl_external_cube_v10_days,spark
slo_overview_marketplace,cube.time_orders_costs_cube_10_days,spark
slo_overview_marketplace,cube.time_orders_additional_cube_2_days,spark
slo_overview_logistics,cube.jl_external_cube_v10_days,spark
slo_overview_onfy,cube.onfy_order_cube_v5_days,spark
slo_overview_pro,cube.pro_order_cube_v6_days,spark
slo_pnl,cube.profit,spark
slo_gold,gold.active_devices,bq
slo_gold,gold.active_devices_with_ephemeral,bq
slo_gold,gold.active_users,bq
slo_gold,gold.active_users_with_ephemeral,bq
slo_gold,gold.merchant_categories,bq
slo_gold,gold.merchants,bq
slo_gold,gold.order_groups,bq
slo_gold,gold.orders,bq
slo_gold,gold.products,bq
slo_gold,gold.referral_orders,bq
slo_jm_base_tables,gold.active_devices,bq
slo_jm_base_tables,gold.active_users,bq
slo_jm_base_tables,gold.merchant_categories,bq
slo_jm_base_tables,gold.orders,bq
slo_jm_base_tables,gold.products,bq
slo_jm_base_tables,gold.referral_orders,bq
slo_jm_base_tables,models.active_devices,bq
slo_jm_base_tables,models.active_devices_extended,bq
slo_jm_base_tables,models.active_users,bq
slo_jm_base_tables,models.categories,bq
slo_jm_base_tables,models.orders,bq
slo_jm_base_tables,models.device_interactions,bq
slo_jl_base_tables,jl_models.jl_external_clients_orders,bq
slo_jpro_base_tables,b2b_mart.user_request_order,bq
slo_jpay_base_tables,cube.joompay_overview_v1_days,bq
