zip_code_range_id,chinese_region_name
c379d94cde00b5d8ed6f8ff96ace0198f57b8655,Gansu
36215dc704113b1ff8faa096e8fd63ee7830f3e6,Jiangxi
8ff439f3e5f9f18c6a087681a171be2dab473642,Guizhou
765fabb51ec38b4d2cc8c73e8e18fe8712657c9f,Shaanxi
47506e744ebaa0edabe5b9f44768b5893edad93e,Chongqing
cb3ee150c3b5db3db178352b0a104ed2930c5687,Zhejiang
0c771a1a8d711a4626dad0d13542751be5868f2b,Liaoning
3f85fd7de18121234b9fd8e70e87e2f0916f607b,Qinghai
907f180f9ad39d4259a32db9488783511f6386d9,Fujian
57a8dc4316105d02bc6dca812a6559b41d8bc987,Guangxi
5ab572da77a5777e861ff3691ecbc8280b26502d,Inner Mongolia
81b6a31aa8b467481d2e41bf8c1f874c668f1836,Henan
5b55c274ee0a4f193b983a29ecc2781e56e4d860,Shanghai
c1c86fcfa77d4edd7bfbfa86d7480222ca123bc0,Yunnan
7edcc3f42eb43ae2eba7c46bcef4976177829825,Sichuan
85bd93d3f50b7afe8500877efc7c229a453a0cb4,Hebei
14abf9bec9c750afa6db5481d628f74037a4733b,Hubei
f815d18ecd1dfd3f0ad16e6ece0fb98308f8e7b9,Yangtze River Delta
2a82080f21ad15a85a7e0362b225477536512332,Hainan
34a19cd302d3d7be84e91dcd1a74c3900aa8a450,Ningxia
2cc27eaeb1d748b45f72ff34bfe147ac7fe449e1,Beijing
afc0927da62027c8a57938296d891d12ca171c47,Tianjin
affe13db4528c2396e2ea64f97101145aa971cb2,Heilongjiang
aa207666fa9979b3445e25c426e7b523b458b658,Jiangsu
4b98ac9f694d70ef98473586ecc41084018164bb,Shanxi
ef472e1f8608c61ddd9a71f4d972841e7f0d0ab0,Shandong
b7f4618074e78562a10fe386c42c3b316a2c5cd0,Pearl River Delta
8e5a530e8c77799d2474f624e8ccd66fcee73880,Anhui
9b709bacc5afde44fa8178b9c56af7ca1d5bbe55,Jilin
1f2682c8ec1231c0c806010be20bf333872bcc80,Tibet
1dd75378e0a6a309dbc639c26fb1489c217895e3,Hunan
58652903e974904b59be069119e588f977ed5c11,Central China
04ce1cc7538306df06e3ee11154f719a5894fa7e,Fujian
65e09c38df13742ebe371cbba26f5d8a5758847b,Xinjiang
1ae159c4e9e9d7ea9ef724cc0d5ee1673bb55eb2,Qingdao
9877887443ce4b0360f933b6745169cc4eb9fb1a,Others
