merchant_id,kam,main_merchant_name,main_bl
61a5d165f02667e1d8cef70b,Vadim,Yinchi,Fashion
630eb548702239d492312b92,Laura,Yinchi,Home & Kitchen
630eba68a6ea4a92ced2c278,Vadim,Yinchi,Home & Kitchen
5ad9c38a8b45130b59fa77ae,Maria,Hangzhou Huitong,Health & Beauty
5aec09758b45130b850a0201,Katya,Yiwu Huayi E-commerce,Fashion
62d7795535e438ba44a008a3,Victoria,Yinchi,Health & Beauty
62d77078bb5753b09633911f,Victoria,Yinchi,Health & Beauty
60cb48f4e94ffb48d2f72131,Maria,YUTUO,Health & Beauty
5e1028c61436d40b0175e69e,Vadim,Shijin,Fashion
5aec376f1436d40b397a96cf,Annan,Guangzhou gull lion Trade,Fashion
6163eb6e0a0fedafa7de86e1,Monica,ChengDuBanJiDianZiShangWuYouXianGongSi,Home & Kitchen
614ef300d0c120afd676e487,Mengping,flarixa,Fashion
638601b226b41eaf729b1897,Yilia,ETST WENDY 09,Fashion
5cb5a04b8b45130b01ef959f,Victoria,YEJET,Health & Beauty
5ed5fa951436d40b01acd754,Monica,ywhj88888,Home & Kitchen
1518094866517982452-21-5-26193-774862761,Katya,Anhui Gecheng,Fashion
5ef815482258420b06db46a4,Vadim,Shijin,Fashion
5ac442438b2c370bcfb1286d,Annan,Guangzhou gull lion Trade,Fashion
600fb4af98ee4600062de394,Annan,Guangzhou gull lion Trade,Fashion
1517924985630665084-21-5-26193-1051806676,Laura,Beijing XuanYuan,Home & Kitchen
1520647263159820043-18-11-39131-3552227459,Laura,Beijing XuanYuan,Home & Kitchen
633d6fd63b6bb54a681acb3b,Laura,qiming zheng,Home & Kitchen
624c0acec55a8ee17cfc7e1c,Katya,July Dream,Fashion
61dbd76253bb9e46c1a035e5,Vadim,Yinchi,Fashion
5f190a1b4c282b0b0662c9a6,Ida,Pujiang Haotong,Fashion
5d75e63b8b2c370b01fe5eb7,Victoria,YEJET,Health & Beauty
612884ad72911793b45d10a5,Monica,shanghaixianyidianzikeji,Home & Kitchen
1520647475183396773-20-11-709-4164857933,Monica,shanghaixianyidianzikeji,Home & Kitchen
1520648254991575208-24-11-709-3506316919,Monica,shanghaixianyidianzikeji,Home & Kitchen
5ca7399a36b54d0b0148d13e,Katya,81076072 Yiwu ZhenLan E-commerce,Fashion
60b872f7fec8bf4a0f001588,Laura,Bengbu zhuoan,Home & Kitchen
5cbe6c098b45130b01afd403,Victoria,YEJET,Health & Beauty
5b701e368b45130b8ad49a8e,Vadim,Ningbo Kezhou Trading Co.Ltd.,Fashion
63fb431709b87a94992c37e7,Laura,Beijing XuanYuan,Home & Kitchen
6110bf39e44964693d38036b,Laura,Beijing XuanYuan,Health & Beauty
60e7ba4cf65451dcd05a41fa,Laura,shanghaixianyidianzikeji,Home & Kitchen
6163e18e29ae412f02e12685,Vadim,VVGUOWEI,Fashion
60407cbbada9250006530eff,Allen,Guangzhou gull lion Trade,Home & Kitchen
62c5a53aea137a907d895a89,Ida,AyoM,Fashion
5f8a897ed737740b0631738b,Yilia,Jiuge,Fashion
5e0e9e1b8b45130b017b839b,Katya,5e0e9e1b8b45130b017b839b,Fashion
635422303c0ebf3ba5d89643,Ida,AoyM,Fashion
6285fc4f1749549dd898ec2b,Victoria,YEJET,Home & Kitchen
62907f4d4e2bbccd1a972a65,Victoria,YEJET,Health & Beauty
627f680722ba3f6d46ee0969,Victoria,YEJET,Health & Beauty
63eb17f4f0eea59ef11d653e,Victoria,YEJET,Health & Beauty
61454ee1c6e41ea59e261ee4,Victoria,YEJET,Fashion
5afe66a41436d40b1b1ab173,Annan,Guangzhou gull lion Trade,Fashion
5fe454cc2a00670006c879f0,Annan,Guangzhou gull lion Trade,Fashion
