order_id,order_created_date,gmv_initial,initial_gross_profit,final_gross_profit
65a7d6926b3328d3107aaf8b,,9311.0,0.0,0.0
65b151c026cb950b2054ff08,,1055.05,0.0,0.0
65d51196cc7ce516c12e556c,,2996.04,0.0,0.0
65ddee5f559a3431f0942a29,,28871.0,-698.13,-698.13
65ea0ca5e0670f6be1b0674f,,22552.0,-248.0,-248.0
65ef0304bb34fb6e4a4bf64c,,32460.87,-504.0,-504.0
65f47dc14afeb164f204a60e,,27480.0,-450.69,-450.69
65f879194bfeb2b0071f2d8d,,5570.0,-168.0,-168.0
66017fabf2f43fb0b8bd588a,,27577.66,-336.0,-336.0
666aa5aa02b33991c4faac77,,13500.0,-168.0,-168.0
666ab889ada870860530d538,,1260.25,0.0,0.0
666ab8b95381d9c975574314,,11516.3,97.5,97.5
666ad15102b33991c4fab1e8,,8462.52,241.5,241.5
66ba472d0c9bbbddd732b98a,,17917.27,-2075.31,-2075.31
66c4fe0d0b5bb457ba720a7d,,51978.08,221.07,221.07
66cf7db222277dec7ffb5f30,,10517.82,-606.05,-606.05
66cf94f597a2b9194accddb6,,19103.09,-650.13,-650.13
66d71bc6146d7bf49a26fc9f,,8707.74,166.74,166.74
66db257b3c2cd05303e83cf3,,13208.86,-2628.41,-2628.41
66e3dcbfb561cb7ea36b4617,,10448.85,-515.0,-515.0
66e88b581fa8d70be87e7fa2,,9720.97,236.43,236.43
66fd958cec11d5d880d7ba68,2024-10-10,11732.0,-3999.24,-3999.24
67002b6fd209d6e661514f43,2024-10-11,24295.62,640.0,640.0
6706cf558e0c878cdb3f7ce7,2024-10-21,14230.48,-3366.88,-3366.88
6708070daf548d5f4a765ab5,2024-10-18,11367.05,242.38,242.38
67085785af548d5f4a765b41,2024-10-11,20582.0,604.0,604.0
670fd3f45b651d83f456c0dc,2024-10-28,68300.0,-3358.72,-3358.72
67100be95b651d83f456c2c2,2024-10-21,9299.11,155.53,155.53
6717f865b041cd7b62d34daf,2024-10-28,8507.02,-270.18,-270.18
6718ee957df3ac3b21ff9685,2024-10-29,76777.33,-17954.57,-17954.57
671a7f758f8f5d11638e8526,2024-10-29,5420.32,-1028.77,-1028.77
671a91380c96a194287a22b8,2024-10-31,15665.74,-739.83,-739.83
671ba3300c96a194287a269b,2024-10-25,19930.39,-2706.34,-2706.34
671fde6c67fab66c22a898c7,2024-10-31,9061.22,-2225.68,-2225.68
672bd1eae546571cec885466,2024-11-08,28837.93,-5665.12,-5665.12
672cd8ed1656e9dd7f4e785c,2024-11-27,15744.37,-208.64,-208.64
6735ffb2f182e3f4a318c0ee,2024-11-14,14175.91,271.0,271.0
673b8dd150f7107c6a2ee8f0,2024-11-29,51098.27,-8593.85,-8593.85
6740d51a4bd146113e694424,2025-01-19,5026.04,284.51,284.51
6748ed307fca6ba802a35ebd,2024-12-06,29211.58,-1866.96,-1866.96
6759f0a917c167b3cf1d5bad,2024-12-11,1010.1,25.25,25.25
675af7b808433ed244d897e9,2024-12-12,685.55,17.14,17.14
675b02d4781d3609c1e97225,2024-12-12,278.95,6.97,6.97
675b40fb3703512d44aaa412,2024-12-24,12434.53,-859.6,-859.6
675c3d6b3703512d44aaa8e0,2024-12-13,2579.54,64.49,64.49
675c462f3703512d44aaa91b,2024-12-13,341.22,8.53,8.53
675c67042e1d04dfe942898d,2024-12-12,243.3,6.08,6.08
675c69e52e1d04dfe94289c5,2024-12-13,16715.72,-862.52,-862.52
675c6ea3efa9f41236d87427,2024-12-13,366.5,9.16,9.16
675c7411efa9f41236d87439,2024-12-13,365.99,9.15,9.15
67602b4a2e7d9061a2ee3b4b,2024-12-16,455.66,11.39,11.39
6760651206c420992f837371,2024-12-16,1042.46,26.06,26.06
67606db7f7660794452fa237,2024-12-16,344.33,8.61,8.61
67617c09f7660794452fa7f0,2024-12-16,577.95,14.45,14.45
676180dcf7660794452fa831,2024-12-17,3506.11,87.65,87.65
6761acb706c420992f837ae0,2025-01-10,65146.46,2787.48,2787.48
6762d82cf7660794452faf52,2024-12-18,201.74,5.04,5.04
6765968e7c2acf46df9a3a82,2024-12-20,344.67,8.62,8.62
6769b2e66cc818d350e04793,2024-12-27,23511.33,1444.6,1444.6
676ab681270b1f328d8f7cc2,2024-12-27,35136.69,-3057.86,-3057.86
677270e67104bc79f2a8ac97,2025-01-07,12112.92,1524.8,1524.8
6776e4f7dfbe6dd933205c82,2025-01-02,111.34,0.0,0.0
677e7b72dfbe6dd93320672e,2025-01-07,338.54,0.0,0.0
677eafa37104bc79f2a8bb6c,2025-01-08,570.67,14.27,14.27
677eb6a4dfbe6dd933206831,2025-01-08,4112.62,102.82,102.82
677ed4487104bc79f2a8bc04,2025-01-08,332.37,8.31,8.31
677ed6727104bc79f2a8bc12,2025-01-08,291.73,0.0,0.0
677ed8b3dfbe6dd9332068b6,2025-01-08,284.93,7.12,7.12
677edff8dfbe6dd9332068d6,2025-01-08,356.24,8.91,8.91
677ee0d67104bc79f2a8bc29,2025-01-08,509.17,12.73,12.73
677fd23a7104bc79f2a8c055,2025-01-09,392.54,9.81,9.81
677fe6597104bc79f2a8c0e8,2025-01-09,251.53,6.29,6.29
678156514f74fe5dab4f0c6c,2025-01-09,414.16,10.35,10.35
67815ca154880f4bf013c533,2025-01-10,155.25,3.88,3.88
6781628b54880f4bf013c566,2025-01-10,204.86,5.12,5.12
6781672b4f74fe5dab4f0cbc,2025-01-10,428.22,10.71,10.71
6784eb1af7e293bf7267b519,2025-01-11,675.92,16.9,16.9
6784f1bd7294db47e074844d,2025-01-10,1006.44,25.16,25.16
67855e342583002a9a42ef84,2025-01-13,426.75,10.67,10.67
6785603c5362eed40410d47c,2025-01-13,2911.6,72.79,72.79
678567232583002a9a42efa2,2025-01-13,575.94,0.0,0.0
678582a52583002a9a42f01a,2025-02-10,25988.11,889.36,889.36
67865e4c5362eed40410d955,2025-01-13,341.02,8.53,8.53
67866bd05362eed40410d9b9,2025-01-14,568.92,14.22,14.22
67868f632583002a9a42f5f6,2025-01-13,976.27,24.41,24.41
678692cc2583002a9a42f608,2025-01-13,261.89,6.55,6.55
6787d94b5362eed40410df41,2025-01-15,1099.57,27.49,27.49
6787ffe82583002a9a42fb69,2025-01-22,86727.59,4097.28,4097.28
678805352583002a9a42fb85,2025-01-15,1377.71,34.44,34.44
6788203e2583002a9a42fc1e,2025-01-15,596.34,14.91,14.91
6788e90a5362eed40410e435,2025-01-15,3443.76,0.0,0.0
6789660f46dd05f18e97ab1b,2025-01-16,120.92,3.02,3.02
678970a2e4dd3a64d0d310ff,2025-01-16,393.62,9.84,9.84
67897626e4dd3a64d0d31119,2025-01-16,876.32,21.91,21.91
678aaf15e4dd3a64d0d3193f,2025-01-17,1629.78,40.74,40.74
678abd0e7958f9ced43ba45e,2025-01-16,4191.91,104.8,104.8
678ac3e67958f9ced43ba483,2025-01-17,250.45,6.26,6.26
678e95ff1f6966d82bcdbe0b,2025-01-20,266.03,6.65,6.65
678e9a421f6966d82bcdbe23,2025-01-20,791.67,19.79,19.79
678ea4029ff44121e2a35049,2025-01-17,2544.91,63.62,63.62
678ecc739ff44121e2a35092,2025-01-17,1040.04,26.0,26.0
678ee6761f6966d82bcdbe64,2025-01-20,343.79,8.59,8.59
678ee94d1f6966d82bcdbe76,2025-01-20,353.89,8.85,8.85
678f8dc79ff44121e2a354bf,2025-01-21,241.33,6.03,6.03
678ff923cbf322f5bc3cc40f,2025-01-21,2525.76,63.14,63.14
678ffa1fcbf322f5bc3cc424,2025-01-21,924.9,23.12,23.12
678ffd1d13aa958d1187ca1f,2025-01-21,267.17,6.68,6.68
678ffe6c13aa958d1187ca32,2025-01-21,1282.62,32.07,32.07
67900498cbf322f5bc3cc460,2025-01-21,655.24,16.38,16.38
6790141513aa958d1187cae5,2025-01-21,760.47,19.01,19.01
6790e16ccbf322f5bc3cc7be,2025-01-22,345.32,8.63,8.63
679106d213aa958d1187d734,2025-01-21,2514.78,62.87,62.87
67913bf5ffc70babfdf2eb2e,2025-01-22,279.02,6.98,6.98
67913fc5ffc70babfdf2eb4b,2025-01-22,1596.66,39.92,39.92
679144d20d845cb3bb23d5b8,2025-01-21,329.83,8.25,8.25
679156a20d845cb3bb23d5fa,2025-01-22,973.38,24.33,24.33
679159930d845cb3bb23d62b,2025-01-22,251.51,6.29,6.29
679270117082c0897435a88e,2025-01-23,1326.17,33.15,33.15
67927160fa4fd98c7be79ae5,2025-01-23,5774.4,144.36,144.36
679272c8fa4fd98c7be79af4,2025-01-23,1069.54,26.74,26.74
679275267082c0897435a8b2,2025-01-22,251.26,6.28,6.28
679275487082c0897435a8be,2025-01-23,104.8,2.62,2.62
679277a6fa4fd98c7be79b22,2025-01-23,2446.77,244.68,244.68
679287497082c0897435b156,2025-01-23,508.27,50.83,50.83
67928a327082c0897435b18e,2025-01-23,680.73,17.02,17.02
67929b1d2866b481b2a24d93,2025-01-23,1110.98,27.77,27.77
6792ca7cfd448e40fe03397a,2025-01-23,908.69,90.87,90.87
6792d68cfd448e40fe0339cf,2025-01-23,945.05,94.51,94.51
6792d97fc36f2c7f811dc342,2025-01-22,5608.78,140.22,140.22
6793a0ea21f03f0a4079393a,2025-01-23,1861.37,46.53,46.53
6793ca0b537d8fbd6e3bd8ce,2025-01-23,325.9,8.15,8.15
6793cc7e537d8fbd6e3bd8f5,2025-01-24,2845.51,71.14,71.14
6793d988d6acb53543fe5a3e,2025-01-24,3292.81,329.28,329.28
6793df68d253e1d017ad9723,2025-01-23,100.06,2.5,2.5
6793e15ed253e1d017ad974b,2025-01-24,603.3,15.08,15.08
6793e207d6acb53543fe5add,2025-01-24,249.14,24.91,24.91
679411acd253e1d017ad99b7,2025-01-24,496.35,12.41,12.41
679414d1d6acb53543fe5d4b,2025-01-24,781.92,78.19,78.19
67975eb7b00d9e8df265210a,2025-01-25,443.75,44.38,44.38
6797885eb00d9e8df2652347,2025-01-24,142.06,14.21,14.21
6797a24dcc18a9df8ad576a1,2025-01-27,6060.08,606.01,606.01
6797ab55cc18a9df8ad57707,2025-01-27,405.23,40.52,40.52
6797d0bbcc18a9df8ad5774e,2025-01-27,460.66,46.07,46.07
6797dbbce184290311296798,2025-01-27,497.52,49.75,49.75
6797e073e1842903112967a7,2025-01-27,888.57,88.86,88.86
6797f63dcc18a9df8ad577c1,2025-01-27,316.38,31.64,31.64
6798d32085fa3855c0b56eee,2025-01-27,203.56,20.36,20.36
6798dae985fa3855c0b56fbf,2025-01-28,1635.04,163.5,163.5
6798dc0c3e283bd9790a77ea,2025-01-28,2750.76,275.08,275.08
6798e66785fa3855c0b5708f,2025-01-27,398.67,39.87,39.87
679925b83e283bd9790a7b8b,2025-01-28,2228.07,222.81,222.81
679929d385fa3855c0b5740f,2025-01-28,1743.17,174.32,174.32
67992de23e283bd9790a7bff,2025-01-28,393.7,39.37,39.37
679a2ac711a5940bca86ab0c,2025-01-29,1498.05,149.81,149.81
