campaign_id,campaign,medium,source,partner,app_device_type,campaign_platform,campaign_date_utc,clicks,spend
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-15,9,1.98
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-16,8,1.76
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-17,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-18,8,1.76
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-19,10,2.2
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-20,12,2.64
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-21,7,1.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-22,7,1.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-23,12,2.64
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-24,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-25,19,4.18
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-26,18,3.96
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-27,2,0.44
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-28,4,0.88
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-29,12,2.64
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-30,9,1.98
,apomio_feed_promo,,apomio,onfy,web,web,2023-05-31,6,1.32
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-01,13,2.86
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-02,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-03,4,0.88
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-04,7,1.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-05,12,2.64
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-06,7,1.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-07,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-09,10,2.2
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-10,4,0.88
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-11,5,1.1
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-12,11,2.42
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-13,9,1.98
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-14,4,0.88
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-15,6,1.32
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-16,10,2.2
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-17,12,2.64
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-18,6,1.32
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-19,16,3.52
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-20,6,1.32
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-21,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-22,8,1.76
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-23,5,1.1
,apomio_feed_promo,,apomio,onfy,web,web,2023-06-24,12,2.64
