campaign_id,campaign_name,medium,source,partner,app_device_type,campaign_platform,campaign_date_utc,clicks,spend
,geizhals,,geizhals,geizhals,other,other,2023-08-01,0,148
,upward,,upward,upward,other,other,2023-08-01,0,23576
,mindbox,,mindbox,mindbox,other,other,2023-08-01,0,1800
,aitarget,,aitarget,aitarget,other,other,2023-08-01,0,1860
,httpool,,httpool,httpool,other,other,2023-08-01,0,10000
,geizhals,,geizhals,geizhals,other,other,2023-09-01,0,134
,upward,,upward,upward,other,other,2023-09-01,0,11918
,mindbox,,mindbox,mindbox,other,other,2023-09-01,0,0
,aitarget,,aitarget,aitarget,other,other,2023-09-01,0,1900
,httpool,,httpool,httpool,other,other,2023-09-01,0,0
,geizhals,,geizhals,geizhals,other,other,2023-10-01,0,180
,upward,,upward,upward,other,other,2023-10-01,0,10846
,mindbox,,mindbox,mindbox,other,other,2023-10-01,0,0
,aitarget,,aitarget,aitarget,other,other,2023-10-01,0,1840
,httpool,,httpool,httpool,other,other,2023-10-01,0,0
,geizhals,,geizhals,geizhals,other,other,2023-11-01,0,401
,upward,,upward,upward,other,other,2023-11-01,0,9638
,mindbox,,mindbox,mindbox,other,other,2023-11-01,0,1916
,aitarget,,aitarget,aitarget,other,other,2023-11-01,0,1820
,httpool,,httpool,httpool,other,other,2023-11-01,0,0
,geizhals,,geizhals,geizhals,other,other,2023-12-01,0,228
,upward,,upward,upward,other,other,2023-12-01,0,4883
,mindbox,,mindbox,mindbox,other,other,2023-12-01,0,1916
,aitarget,,aitarget,aitarget,other,other,2023-12-01,0,1820
,httpool,,httpool,httpool,other,other,2023-12-01,0,0
,geizhals,,geizhals,geizhals,other,other,2024-01-01,0,346
,upward,,upward,upward,other,other,2024-01-01,0,0
,mindbox,,mindbox,mindbox,other,other,2024-01-01,0,2337
,aitarget,,aitarget,aitarget,other,other,2024-01-01,0,1860
,httpool,,httpool,httpool,other,other,2024-01-01,0,0
,geizhals,,geizhals,geizhals,other,other,2024-02-01,0,384
,mindbox,,mindbox,mindbox,other,other,2024-02-01,0,2413
,aitarget,,aitarget,aitarget,other,other,2024-02-01,0,1840
,website hosting,,website hosting,website hosting,other,other,2024-02-01,0,105
,freelance video,,freelance video,freelance video,other,other,2024-03-01,0,2925
,geizhals,,geizhals,geizhals,other,other,2024-03-01,0,384
,mindbox,,mindbox,mindbox,other,other,2024-03-01,0,2761
,shutter,,shutter,shutter,other,other,2024-03-01,0,167
