slo_id,business_name,owner,alert_channels,expected_time_utc_hours_str,description,slo_type,target_sli,priority,technical_alert_channels,dow
slo_ads,Advertising data,@ads.duty,#ads-monitoring,6,Advertising costs data,platform,80,1,#ads-monitoring,
slo_analytics_reports,Time reports at analytics.joom.ai,<!subteam^SDN6W6X71|analytics.duty>,#analytics-eng,8,used in Time report in analytics.joom.ai,platform,90,1,#analytics-achtung,
slo_overview_marketplace,JM columns in analytics.joom.ai/joom/overview,<!subteam^SDN6W6X71|analytics.duty>,#analytics-achtung,8,used in Overview report in analytics.joom.ai for Marketplace columns,platform,90,1,#analytics-achtung,
slo_overview_onfy,Onfy columns in analytics.joom.ai/joom/overview,<!subteam^SDN6W6X71|analytics.duty>,#analytics-achtung,8,used in Overview report in analytics.joom.ai for Onfy columns,platform,0,2,#analytics-achtung,
slo_overview_pro,Pro columns in analytics.joom.ai/joom/overview,<!subteam^SDN6W6X71|analytics.duty>,#analytics-achtung,8,used in Overview report in analytics.joom.ai for Pro columns,platform,0,2,#analytics-achtung,
slo_pnl,PnL report,<!subteam^SDN6W6X71|analytics.duty>,#analytics-eng,9,PnL report data https://analytics.joom.ai/pnl/profit_by_day,platform,90,1,#analytics-achtung,
slo_pivots,Pivot tables,@leonid.enov,#slo-monitoring,10,Data for pivot tables,mart,90,1,#category-analytics-alerts,
slo_gold,Gold,<!subteam^SDN6W6X71|analytics.duty>,#slo-monitoring,7,Gold-dataset,mart,90,1,#analytics-achtung,
slo_jm_base_tables,JM Main Tables,<!subteam^SDN6W6X71|analytics.duty>,#slo-monitoring,8,Joom Marketplace main tables,mart,80,2,,
slo_jl_base_tables,JL Main Tables,@e.kotsegubov,#slo-monitoring,8,Joom Logistics main tables,mart,80,2,,
slo_jpro_base_tables,JPro Main Tables,@amitiushkina,#slo-monitoring,8,JoomPro main tables,mart,80,2,,
slo_losses_in_profit_report,Losses in Profit,@yatsushko,#slo-monitoring,8,Data for Losses in Profit report https://secure.holistics.io/dashboards/v3/64762-losses-in-profit,report,80,2,,
slo_gmv_structure_report,GMV Structure,@yatsushko,#slo-monitoring,8,Data for GMV Structure report https://secure.holistics.io/dashboards/v3/63886-gmv-structure,report,80,2,,
slo_contribution_profit_report,Contribution Profit,@yatsushko,#slo-monitoring,8,Data for Contribution Profit report https://secure.holistics.io/dashboards/v3/63984-contribution-profit,report,80,2,,
slo_country_info_report,Country Info,@yatsushko,#slo-monitoring,8,Data for Country Info report https://secure.holistics.io/dashboards/v3/17297-country-info,report,80,2,,
slo_gmv_structure_report,GMV Structure,@yatsushko,#slo-monitoring,8,Data for GMV Structure report https://secure.holistics.io/dashboards/v3/63886-gmv-structure,report,80,2,,
slo_jm_plan_fact_business_lines,JM Plan-Fact | Business lines,@yatsushko,#slo-monitoring,8,Data for JM Plan-Fact | Business lines report https://secure.holistics.io/dashboards/v3/71745-jm-plan-fact-business-lines,report,90,2,,
slo_jm_plan_fact_weekly,JM Plan-Fact | Weekly,@yatsushko,#slo-monitoring,8,Data for JM Plan-Fact | Weekly report https://secure.holistics.io/dashboards/v4/98679-jm-plan-fact-weekly,report,90,2,,1
slo_main_report,⭐ Main,@yatsushko,#slo-monitoring,8,Data for Main dashboard https://secure.holistics.io/dashboards/v3/16602-main,report,80,2,,
slo_logistics_stages_report,⭐ Logistics stages by tracking checkpoints,@e.kotsegubov,#slo-monitoring,8,Data for Logistics stages by tracking checkpoints dashboard https://secure.holistics.io/dashboards/v3/76520-logistics-stages-by-tracking-checkpoints,report,80,2,,
slo_jm_plan_fact_priority,JM Plan Fact Priority,<!subteam^SDN6W6X71|analytics.duty>,#slo-monitoring,8,Priority tables for JM Plan Fact Reports,mart,90,1,#analytics-achtung,
slo_jm_plan_fact_priority_9am,JM Plan Fact Priority 9AM,<!subteam^SDN6W6X71|analytics.duty>,#slo-monitoring,9,Priority tables for JM Plan Fact Reports (9am),mart,90,1,#analytics-achtung,
slo_gold,Gold,<!subteam^SDN6W6X71|analytics.duty>,#slo-monitoring,9,Gold-dataset,mart,90,1,#analytics-achtung,6
slo_jm_base_tables,JM Main Tables,<!subteam^SDN6W6X71|analytics.duty>,#slo-monitoring,10,Joom Marketplace main tables,mart,80,2,,6
slo_main_report,⭐ Main,@yatsushko,#slo-monitoring,10,Data for Main dashboard https://secure.holistics.io/dashboards/v3/16602-main,report,80,2,,6
slo_country_info_report,Country Info,@yatsushko,#slo-monitoring,10,Data for Country Info report https://secure.holistics.io/dashboards/v3/17297-country-info,report,80,2,,6
slo_jm_plan_fact_priority,JM Plan Fact Priority,<!subteam^SDN6W6X71|analytics.duty> @ads.duty,#slo-monitoring,10,Priority tables for JM Plan Fact Reports,mart,90,1,#analytics-achtung,6
slo_jm_plan_fact_priority_9am,JM Plan Fact Priority 9AM,<!subteam^SDN6W6X71|analytics.duty> @ads.duty,#slo-monitoring,10,Priority tables for JM Plan Fact Reports (9am),mart,90,1,#analytics-achtung,6
