source,campaign_name,campaign_id,campaign_corrected,is_stada
facebook,WEB_Prosp_All_20+_Catalog_08.03.2022 - Copied by Yuri,23849887771510198,WEB_Prosp_All_20+_Catalog_22.08.2022,0
facebook,WEB_LAL_Purchase_All20+_08.03.2022 - Copied by Yuri,23849890388880198,WEB_LAL_Purchase_All20+_08.03.2022 - Copied by Yuri,0
google,shopping_test,18313448369,shopping,0
facebook,Onfy_Web+Android_Retargeting_DE_Catalog_05.05.22,23850347414500198,Onfy_Web+Android_Retargeting_DE_Catalog_05.05.22,0
tiktok,AdChampagne_Android_TikTok_ANT22.04 (1730828211919922),1730828211919922,adchampagne,0
facebook,Onfy_IOS_Facebook_AAA_catalog_28.04,23850429089970072,Onfy_IOS_Facebook_AAA_catalog_28.04,0
google,Onfy_Android_Google_UAC01.03.22,16447789612,Onfy_Android_Google_UAC01.03.22,0
s24,s24,s24,s24,0
tiktok,AdChampagne_Android_TikTok_APR20.03 (1727838328426513),1727838328426513,adchampagne,0
facebook,WEB_Prosp_All_20+_Catalog_22.08.2022,23851236939720198,WEB_Prosp_All_20+_Catalog_22.08.2022,0
facebook,Web_Prosp_All_20+_Categories,23851859266250198,Web_Prosp_All_20+_Categories,0
google,ohm_web_google|plt:s|tg:ssa|t:mod|st:1|sst:nu|mt:nu|d:all|f:all|fs:nu|g1v0|,18189506091,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:bra|st:nu|sst:nu|mt:nu|d:all|f:all|fs:nu|g0v0|,17332816050,ohm,0
idealo,idealo,Idealo_feed_promo,idealo,0
facebook,Mobihunter_Android_FB_campaign07.10_mobihunter_Onfy_i5z_0710_DR_DE_int_Feed (23851309320870694),23851309320870694,mobihunter,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:2|mt:e|d:all|f:all|fs:nu|g2v0|,18086013310,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:bra|st:nu|sst:nu|mt:nu|d:all|f:all|fs:nu|g0v0| (17332816050),17332816050,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:1|mt:e|d:all|f:all|fs:nu|g2v0|,18091391165,ohm,0
google,shopping_click optimized,18917945268,shopping_click optimized,0
google,Onfy_Android_Google_UAC31.03.22_inititate checkout,16723098643,Onfy_Android_Google_UAC31.03.22_inititate,0
tiktok,Mobihunter_Android_TikTok_campaign19.07_mobihunter_Onfy_i5z_1907_DR_DE_addtocard_promocod (1738771726698497),1738771726698497,mobihunter,0
facebook,Web_qualified Traffic_All_20+,23852117130600198,Web_qualified Traffic_All_20+,0
google,ohm_web_google|plt:s|tg:ssa|t:mod|st:2|sst:nu|mt:nu|d:all|f:all|fs:nu|g1v0|,18189506040,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:3|mt:e|d:all|f:all|fs:nu|g2v0|,18086013337,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:1|mt:b|d:all|f:all|fs:nu|g2v0|,18091108976,ohm,0
tiktok,AdChampagne_Android_TikTok_ANT08.11 (1748952560747554),1748952560747554,adchampagne,0
google,Rocket10_android_Google_Onfy_DE_2904_NK_12 (17094038375),17094038375,rocket10,0
tiktok,adchampagne_Andr_DE_team#2_DSAP_onfy_card-3009 (1745419030154257),1745419030154257,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:offl|sst:1|mt:b|d:all|f:all|fs:nu|g2v0|,18084680337,ohm,0
tiktok,AdChampagne_Android_TikTok_ANT16.06 (1735878917258258),1735878917258258,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:5|mt:b|d:all|f:all|fs:nu|g2v0|,18085733758,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:4|mt:b|d:all|f:all|fs:nu|g2v0|,18091109681,ohm,0
tiktok,Whiteleads_Android_TikTok_RS1 (1728916797240321),1728916797240321,whiteleads,0
tiktok,adchampagne_Andr_DE_team#2_DSAP_onfy_card-0410 (1745769350884402),1745769350884402,adchampagne,0
facebook,Mobihunter_Android_FB_campaign19.09_mobihunter_Onfy_i5z_1909_DR_DE_int (23851637531430194),23851637531430194,mobihunter,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:4|mt:e|d:all|f:all|fs:nu|g2v0|,18084453507,ohm,0
