outputTable,outputTableType,inputTable,inputTableType,comment
mart.fact_order_2020,spark,platform.time_metrics_forecast_country,spark,"fact_order_2020 depends on prev day forecast"
mart.fact_order_2020,spark,platform.time_metrics_forecast_country_os_2,spark,"fact_order_2020 depends on prev day forecast"
quality.fact_order_2020,spark,platform.time_metrics_forecast_country,spark,"fact_order_2020 depends on prev day forecast"
quality.fact_order_2020_deleted,spark,platform.time_metrics_forecast_country,spark,"fact_order_2020 depends on prev day forecast"
mart.fact_order_2020_deleted,spark,platform.time_metrics_forecast_country,spark,"fact_order_2020 depends on prev day forecast"
ads.web_analytics_pageviews_with_segments,spark,ads.web_analytics_costs,spark,"ads.web_analytics_pageviews_with_segments reads ads.web_analytics_costs only for campaign names @dimapan"
,,ads.fbads_aitarget_overlay_feeds_validation_debug,spark,"Ignore debug table which causes cycle"
ads.revenue_share_partner_costs,spark,mart.star_install,spark,"revenue_share_partner_costs uses historical data from star_install @antfomjoom"
mi_analytics.idealo_price_index,spark,price.product_country_price_v3,spark,"In our price index tables we use latest available data from price.product_country_price_v3 @truwan"
webscraping.idealo_scheduled_gtins,spark,mi_analytics.idealo_priority_scheduling,spark,"В webscraping мы работаем с последней доступной партицией @truwan"
cube.profit,spark,platform.time_metrics_forecast_country,spark,"cube.profit depends on yesterday's data"
ads.web_analytics_costs,spark,ads.vk_ds_daily_insights,spark,"web_analytics_costs doesn;t wait for VK data anymore: https://joom-team.slack.com/archives/C2QM63CG0/p1686384161779129?thread_ts=1686376945.230719&cid=C2QM63CG0 https://github.com/joomcode/datasci/commit/64082f4d57d0dabbb7030d40986e1dd45cdd94b6"
payments.card_bins_snapshot,spark,payments.card_bins_version,spark,"we read latest version of payments.card_bins_version in payments.card_bins_snapshot @acherezova"
